tier,eval_idx,question,correct_letter,correct_answer_text,vector_top1_rank,vector_top1_score_if_available,vector_top1_contains_answer,vector_top1_question_hits,vector_top1_answer_hits,vector_top1_snippet,reranked_top1_original_rank,reranked_top1_score,reranked_top1_contains_answer,reranked_top1_question_hits,reranked_top1_answer_hits,reranked_top1_snippet,reranked_top3_contains_answer,reranked_top3_best_rank,reranked_top3_best_original_rank,reranked_top3_best_score,reranked_top3_best_snippet,question_overlap_gain,answer_overlap_gain,reason_for_candidate_selection,selection_score
Tier 2,14,What is the significance of the high degree of fatty-acyl disorder in the thylakoid membranes of plants?,C,The high degree of fatty-acyl disorder in the thylakoid membranes of plants allows for innate fluidity even at relatively low temperatures.,1,-10.85920524597168,False,,,"The plant food factory  At least some plant cells contain photosynthetic organelles (plastids) which enable them to make food for themselves. With sunlight, water, and carbon dioxide, the plastids make sugars, the basic molecules needed by the plant. Free oxyg",14,-10.47365951538086,False,,,"Protoplasm is an old term, which  means the living substance that makes up a cell. It is no longer much used. Biologists prefer to talk about the cytoplasm and the cell nucleus.  In plant cells, it is surrounded by a cell wall. In animal cells, the whole cell ",True,3.0,9.0,-10.903753280639648,"Carbon dioxide levels  Carbon dioxide is used in the light-independent reactions. It combines with NADPH and ATP and various other chemicals to form glucose. Therefore, if there is not enough carbon dioxide, then there will be a build-up of NADPH and ATP and n",0,0,an answer-bearing chunk moved from vector rank 9 to rerank rank 3,2140
Tier 2,16,What is a planetary system?,C,Any set of gravitationally bound non-stellar objects in or out of orbit around a star or star system.,1,1.9993339776992798,False,system,"objects, orbit, star","A planet is a large object such as Venus or Earth that orbits a star. Planets are smaller than stars, and they do not make light. Jupiter is the biggest planet in the Solar System, while the smallest planet in the Solar System is Mercury.  Planets are shaped l",15,2.6654539108276367,False,system,star,"Discovery and exploration   For thousands of years, people had no need for a name for the ""Solar System"". They thought the Earth stayed still at the center of everything (geocentrism). The Greek philosopher Aristarchus of Samos suggested that there was a speci",True,2.0,6.0,2.1528286933898926,"The name ""planet"" is from the Greek word πλανήτης (planetes), meaning ""wanderers"", or ""things that move"". Until the 1990s, people only knew the planets in the Solar System.   4,905 extrasolar planets (exoplanets) have been discovered in 3,629 planetary systems",0,-2,an answer-bearing chunk moved from vector rank 6 to rerank rank 2,2140
Tier 3,6,What is the application of Memristor?,D,"Memristor has applications in programmable logic signal processing, Super-resolution imaging, physical neural networks, control systems, reconfigurable computing, in-memory computing, brain–computer interfaces and RFID.",1,-10.533683776855469,False,,"memory, brain","Memory is the personal record of past experiences. It is the brain's ability to store information to use later. The Greeks considered memory (Mnemosyne) as the mother of Muses, for without her there would be no art and no science.   Memory is studied in scienc",17,-9.195591926574707,False,application,applications,"A magnifying glass is a lens through which can be used to make things appear bigger, so you can see them better. It is used in many applications and manual operations, e.g., for examining postage stamps in philately.  The magnifying glass consists of a piece o",False,,,,,1,-1,reranked top-1 is more semantically aligned with the question (1 question-term hits vs 0),1265
Tier 3,27,What is the isophotal diameter used for in measuring a galaxy's size?,E,The isophotal diameter is a conventional way of measuring a galaxy's size based on its apparent surface brightness.,1,-3.470444679260254,False,"galaxy, size",way,"Elliptical galaxy   An elliptical galaxy is a galaxy that has a ellipsoid (3D of ellipse) shape.  This type of galaxy are dominant in universe, especially in galaxy clusters.  The shape ranges from circle, ellipse, and cigar-shaped.  In Hubble Sequence, this s",4,-0.7443801164627075,False,"diameter, galaxy, size",way,"Size The stellar disk of the Milky Way Galaxy is about 200,000 light-years (9×1017 km) in diameter, and is considered to be, on average, about 1000 light years thick.  It is estimated to contain at least 100 billion stars, and possibly up to 400 billion stars.",False,,,,,1,0,reranked top-1 is more semantically aligned with the question (3 question-term hits vs 2),1140
Tier 3,36,Who was the first person to describe the pulmonary circulation system?,E,Ibn al-Nafis,1,-9.033565521240234,False,first,,"On 1 August 1774, British clergyman Joseph Priestley focused sunlight on mercuric oxide in a glass tube. From this experiment he got a gas that he called ""dephlogisticated air"". He found that candles burned more brightly in the gas and a mouse lived longer whi",4,-4.522283554077148,False,"first, person",,Lavoisier's research  Lavoisier did the first main experiments on oxidation. He was the first person to explain how combustion works. He used these and other experiments to prove the phlogiston theory wrong. He also tried to prove that the substance discovered,False,,,,,1,0,reranked top-1 is more semantically aligned with the question (2 question-term hits vs 1),1140
Tier 3,45,What is the relation between the three moment theorem and the bending moments at three successive supports of a continuous beam?,C,"The three moment theorem describes the relationship between bending moments at three successive supports of a continuous beam, subject to a loading on two adjacent spans with or without settlement of the supports.",1,-10.945781707763672,False,"relation, between",,"Big Bang model   The prevailing Big Bang model accounts for many of the experimental observations described above, such as the correlation of distance and redshift of galaxies, the universal ratio of hydrogen:helium atoms, and the ubiquitous, isotropic microwa",3,-7.469574928283691,False,"three, moment, bending",,"The General Theory of Relativity   The General Theory of Relativity was published in 1915, ten years after the special theory of relativity was created. Einstein's general theory of relativity uses the idea of spacetime. Spacetime is the fact that we have a fo",False,,,,,1,0,reranked top-1 is more semantically aligned with the question (3 question-term hits vs 2),1130
Tier 3,7,What can be inferred about the electronic entropy of insulators and metals based on their densities of states at the Fermi level?,B,"Insulators have zero density of states at the Fermi level, and therefore, their density of states-based electronic entropy is essentially zero. Metals have non-zero density of states at the Fermi level, and thus, their electronic entropy should be proportional to the temperature and density of states at the Fermi level.",1,-8.983356475830078,False,metals,,". For example, if there were one mole of the sulfate ions SO42- on the copper side, then the process is limited to transferring two moles of electrons through the external circuit. The amount of electric charge contained in a mole of electrons is called the Fa",2,-6.0972065925598145,False,"states, fermi",temperature,"Other states  Many other states of matter can exist under special conditions, including strange matter, supersolids, and possibly string-net liquids. Scientist work on experiments at very high or very low temperatures to learn more about phases of matter.  Con",False,,,,,1,1,reranked top-1 is more semantically aligned with the question (2 question-term hits vs 1),1125
Tier 3,2,What is the Carnot engine?,B,The Carnot engine is an ideal heat engine that operates in the limiting mode of extreme slowness known as quasi-static. It represents the theoretical maximum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,1,-11.250730514526367,False,,"between, any","Walter Cannon, a professor of physiology at Harvard University coined the term homeostasis in his book The Wisdom of the Body in 1932. In his work with animals Cannon observed that any change of emotional state in the beast, such as anxiety, distress, or rage ",2,-5.941403865814209,False,engine,"efficiency, any","A diesel-electric engine is a diesel generator, a diesel engine that drives an electric generator. The generator feeds electric power to an electric motor which turns a driveshaft.  Its efficiency is higher than when an engine drives a shaft through gears.  Mo",False,,,,,1,0,reranked top-1 is more semantically aligned with the question (1 question-term hits vs 0),1120
Tier 3,28,What is an order parameter?,D,An order parameter is a measure of the degree of symmetry breaking in a physical system.,1,-10.970253944396973,False,,,"Answering the question  Algorithms are a specific set of instructions or steps on how to complete a task. For example, a computer scientist wants to sort playing cards. There are many ways to sort them - by suits (diamonds, clubs, hearts, and spades) or by num",2,-4.812406063079834,False,order,,"Generally, streams that form only during and immediately after precipitation are termed ephemeral streams.  Streams in geographic terms are awarded order designations.  A stream of the first order is a blue-line stream which does not have any other blue-line s",False,,,,,1,0,reranked top-1 is more semantically aligned with the question (1 question-term hits vs 0),1120
Tier 3,35,What is the Landau-Lifshitz-Gilbert equation used for in physics?,C,"The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a solid, and is commonly used in micromagnetics to model the effects of a magnetic field on ferromagnetic materials.",1,-8.084165573120117,False,physics,,Applied mathematics  Applied math uses symbolic logic to solve problems in areas like engineering and physics.  Numerical analysis – Optimization – Probability theory – Statistics – Mathematical finance – Game theory – Mathematical physics – Fluid dynamics - C,2,-2.9775986671447754,False,"equation, physics",,"This equation is used to calculate how the earth moves around the sun and how the moon moves around the earth. It is also used to calculate how other planets, stars and objects in space move around.  The equation says that if two objects are very heavy then th",False,,,,,1,0,reranked top-1 is more semantically aligned with the question (2 question-term hits vs 1),1120
